,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
0,Mon Nov 20 17:00:48 +0000 2023,1.72664678927582e+18,Rekomendasi Liptint Cipokable bgt nih bestieeðŸ¥°  -- A Thread -- https://t.co/8v6BreJfSw,0,1,0,0,in,2981903744,1.72664678927582e+18,InspirasiDiskon,https://twitter.com/InspirasiDiskon/status/1726646789275820076
1,Mon Nov 20 17:00:26 +0000 2023,1.72664669482852e+18,"Ada diskon 90% nih jadi Rp24.900. Cek di Tokopedia, deh. Bentar lagi diskonnya berakhir, lho! https://t.co/MvGH8RflNo https://t.co/KhNPNocYCh",1,0,0,1,in,1305090402626609920,1.72664669482852e+18,xkode06,https://twitter.com/xkode06/status/1726646694828527799
2,Mon Nov 20 16:57:06 +0000 2023,1.72664585780056e+18,LazFlash Kebut Voucher ðŸ•› 00:00 | 21 Nov  [Rp500] Diskon 20% s/d 3k https://t.co/dChp5PgHP8  [Rp5.000] Diskon 15% s/d 15k https://t.co/p69skLacJg Diskon 10% s/d 50k https://t.co/qt6xBFvFoI Diskon 3% s/d 150k https://t.co/WOwfXbLqEv https://t.co/0i43KOxYrT,0,0,0,0,in,1672464836,1.72664585780056e+18,i_m_mortal_,https://twitter.com/i_m_mortal_/status/1726645857800564785
3,Mon Nov 20 16:56:27 +0000 2023,1.72664569393758e+18,Kemungkinan Restock Pukul 00:00 | 21 Nov -------- Promo GrabFood | Grab  Kode : VISAGF  *Diskon 25rb minbel 75rb *Metode pembayaran VISA *Dapat digabung dengan Promo Resto *Kuota harian Terbatas (maks 2kali/bulan) *Bisa pesanan terjadwal https://t.co/3Osj8lomm7,0,0,0,4,in,1305090402626609920,1.72664569393758e+18,xkode06,https://twitter.com/xkode06/status/1726645693937582552
4,Mon Nov 20 16:56:14 +0000 2023,1.72664563793106e+18,woi ini diskon seirockya sampe kapan yaaa??????,0,4,0,0,in,1350424273278569984,1.72664563793106e+18,marvenvier,https://twitter.com/marvenvier/status/1726645637931061711
5,Mon Nov 20 16:52:49 +0000 2023,1.72664477808185e+18,@yayayayot_ Semoga rejeki yaw kak! Janlup ikutan war diskon ðŸ˜ðŸ™ŒðŸ»,0,0,0,0,in,72293042,1.72610478839873e+18,tokopedia,https://twitter.com/tokopedia/status/1726644778081853456
6,Mon Nov 20 16:52:45 +0000 2023,1.72664476366188e+18,@bookwormdaily Mumpung diskon ðŸ˜,0,0,0,0,in,1381811255573240064,1.72659409474568e+18,lovunakim,https://twitter.com/lovunakim/status/1726644763661881822
7,Mon Nov 20 16:52:12 +0000 2023,1.72664462321981e+18,lazada tu lg bakar duit ya?? mksd gue di oren aja harganya 220an alt live dpt 190. dia malah diskon smpe 178 rebuðŸ¥²ðŸ¥² tp kudu slalu cek krn per 10 menit berubah harganya yesss https://t.co/OwOHGQoKV5,0,1,0,0,in,920841361011522944,1.72664462321981e+18,thispipiy,https://twitter.com/thispipiy/status/1726644623219818693
8,Mon Nov 20 16:50:55 +0000 2023,1.72664430254855e+18,"@picknvva @dbrakape @discountfess Mjb, ini pembayaran nya pake apa biar bisa dpt diskon segini?",0,0,0,0,in,1339381454703219968,1.72663023174906e+18,haneymilktea,https://twitter.com/haneymilktea/status/1726644302548550123
9,Mon Nov 20 16:50:55 +0000 2023,1.72664430206611e+18,"@Momomokacia @crescent_floo @Reymondist_ @Greschinov cakep nih, copas ya kak",0,0,0,0,in,1479712759784740096,1.72628962190948e+18,miss_checkout,https://twitter.com/miss_checkout/status/1726644302066110623
